"indicator","period","start","end","group","subgroup","value"
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Hampshire",22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Jersey",17.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Mexico",18.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New York",17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","North Carolina",22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","North Dakota",15.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Ohio",21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Oklahoma",22.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Oregon",21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Pennsylvania",20.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Rhode Island",22.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","South Carolina",22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","South Dakota",20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Tennessee",19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Texas",18.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Utah",22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Vermont",22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Virginia",19.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Washington",19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","West Virginia",26.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Wisconsin",24
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Wyoming",18.1
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Alabama",6.9
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Alaska",8.2
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Arizona",10.1
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Arkansas",6.4
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","California",8.9
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Colorado",9.5
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Connecticut",12
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Delaware",9.3
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","District of Columbia",17
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Florida",7.7
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Georgia",9.3
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Hawaii",5.3
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Idaho",8.8
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Illinois",9.8
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Indiana",6.7
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Iowa",7.6
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Kansas",6.8
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Kentucky",10.1
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Louisiana",7.7
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Maine",10.1
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Maryland",9.6
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Massachusetts",14.5
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Michigan",9.3
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Minnesota",9.3
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Mississippi",5.6
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Missouri",8.1
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Montana",10.5
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Nebraska",6.7
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Nevada",7.8
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Hampshire",9.6
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Jersey",8.8
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Mexico",8.5
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New York",12
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","North Carolina",7.6
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","North Dakota",5.9
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Ohio",7.7
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Oklahoma",8.2
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Oregon",10.4
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Pennsylvania",8.6
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Rhode Island",12.5
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","South Carolina",9
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","South Dakota",5.4
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Tennessee",8.1
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Texas",9.2
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Utah",9
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Vermont",12.3
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Virginia",10.6
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Washington",9.9
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","West Virginia",9.5
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Wisconsin",8.6
"Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Wyoming",8.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Alabama",22.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Alaska",19
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Arizona",22.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Arkansas",27.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","California",19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Colorado",21.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Connecticut",24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Delaware",25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","District of Columbia",28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Florida",20
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Georgia",23.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Hawaii",13.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Idaho",25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Illinois",22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Indiana",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Iowa",24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Kansas",24.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Kentucky",28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Louisiana",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Maine",33
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Maryland",20.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Massachusetts",27.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Michigan",25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Minnesota",26.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Mississippi",24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Missouri",24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Montana",26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Nebraska",23.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Nevada",18
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Hampshire",25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Jersey",20.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New Mexico",22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","New York",22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","North Carolina",24.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","North Dakota",16.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Ohio",23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Oklahoma",25.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Oregon",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Pennsylvania",23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Rhode Island",26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","South Carolina",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","South Dakota",22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Tennessee",22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Texas",21.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Utah",26
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Vermont",27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Virginia",22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Washington",23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","West Virginia",28.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Wisconsin",26.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Wyoming",21.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Alabama",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Alaska",9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Arizona",12.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Arkansas",12.1
